Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
Tray 3, Leftover 2, estimation: 0.000000
