Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
Tray 3, Leftover 1, estimation: 0.000000
