Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
Tray 3, Leftover 3, estimation: 0.000000
