Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
Tray 5, Leftover 3, estimation: 0.000000
