Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
Tray 5, Leftover 2, estimation: 0.000000
