Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
Tray 5, Leftover 1, estimation: 0.000000
