Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
Tray 6, Leftover 1, estimation: 0.000000
