Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
Tray 2, Leftover 2, estimation: 0.000000
