Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
Tray 2, Leftover 1, estimation: 0.000000
