Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
Tray 2, Leftover 3, estimation: 0.000000
