Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
Tray 4, Leftover 3, estimation: 0.000000
