Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
Tray 7, Leftover 2, estimation: 0.000000
