Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
Tray 1, Leftover 2, estimation: 0.000000
