Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
Tray 1, Leftover 3, estimation: 0.000000
