Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
Tray 1, Leftover 1, estimation: 0.000000
