Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
Tray 8, Leftover 3, estimation: 0.336054
