Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
Tray 8, Leftover 1, estimation: 0.000000
