Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
Tray 8, Leftover 2, estimation: 1.000000
